data, bandwidth
feedback|1 11|22|3|1|1681469250.5978007|                                                                                        ,285417.81605528976
feedback|1 11|22|3|1|1681469250.5978007|                                                                                        ,194236.94356005787
decided|1 11|22|3|1|1681469250.5995758|                                                                                         ,50085.91398451348
decided|1 11|22|3|1|1681469250.5995758|                                                                                         ,46434.08683618751
feedback|1 11|21|2|1|1681469250.604113|                                                                                         ,32269.69477670253
feedback|1 11|21|2|1|1681469250.604113|                                                                                         ,29199.984335907757
feedback|3 6|22|1|1|1681469252.357601|                                                                                          ,235883.52899824252
feedback|3 6|22|1|1|1681469252.357601|                                                                                          ,139338.41474175965
ask|3 6|DEPOSIT w 24|6|1|1681469252.3583028|                                                                                    ,35467.458016780074
feedback|3 6|23|2|1|1681469252.3609226|                                                                                         ,25735.626863525238
ask|3 6|DEPOSIT w 24|6|1|1681469252.3583028|                                                                                    ,13691.495256554115
feedback|3 6|23|2|1|1681469252.3609226|                                                                                         ,13686.957603569152
decided|3 6|23|2|1|1681469252.3702476|                                                                                          ,245820.01465201465
decided|3 6|23|2|1|1681469252.3702476|                                                                                          ,49788.64063804136
ask|1 12|TRANSFER s -> q 9|12|1|1681469253.4883125|                                                                             ,244254.2820746133
decided|1 12|24|2|1|1681469253.4934103|                                                                                         ,339147.76500315854
feedback|1 12|24|2|1|1681469253.496392|                                                                                         ,41844.965861262666
feedback|2 8|24|1|1|1681469254.3764584|                                                                                         ,275036.3278688525
ask|2 8|TRANSFER o -> b 2|8|1|1681469254.37674|                                                                                 ,23836.563157661058
decided|2 8|24|1|1|1681469254.3840365|                                                                                          ,267632.5583250249
